STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,EDUCATION_LEV,,EXP_SOURCE,,EXP_DESTINATION,,EXPENDITURE_TYPE,,PRICE_BASE,,UNIT_MEASURE,,Q_SHEET,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,,Q_SHEET_ROW_ID,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,SWE,,FIN_PERSTUD,,ISCED11_1T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,26.9926547854443,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,TUR,,FIN_PERSTUD,,ISCED11_1,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,12.7634495212915,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,BEL,,FIN_PERSTUD,,ISCED11_2,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,17811.1351563535,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,POL,,FIN_PERSTUD,,ISCED11_1T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,29.3057771711488,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,SWE,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,43.8100740109338,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,BEL,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,37.076363030586,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,MEX,,FIN_PERSTUD,,ISCED11_3,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,18.2473927530583,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,SVN,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,39.8466782464357,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,EST,,FIN_PERSTUD,,ISCED11_1,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,23.6088922323651,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,OECD,,FIN_PERSTUD,,ISCED11_5,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,25.60697383,,A,,0,,0,,,,_Z,
